indicator,type,source,first_seen,last_seen
http://117.206.99.188:38276/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.206.99.188:38276/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.209.22.229:51363/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.209.24.141:55258/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.209.86.81:49227/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.209.90.197:58451/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.209.90.197:58451/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.216.28.171:34282/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.216.28.171:34282/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://117.82.120.82:53501/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.100.107.55:37562/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.115.246.48:42121/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.118.61.65:43421/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.156.228.235:44784/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.156.228.235:44784/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.179.35.144:59213/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.185.153.2:53357/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.185.191.23:41520/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.185.191.23:41520/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.185.240.200:36844/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.186.156.66:32810/bin.sh,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.186.156.66:32810/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
http://119.206.216.132:37053/i,url,urlhaus_recent,2025-09-05T08:42:32+01:00,2025-09-05T08:42:32+01:00
